context_type,chunk_size,top_k,embedding_model,model,avg_score_mean,avg_score_std,latency_mean,latency_std,rank,num_runs,score_CI95_lower,score_CI95_upper,latency_CI95_lower,latency_CI95_upper
faiss,750.0,15.0,sentence-transformers_all-mpnet-base-v2,Qwen2.5-72B-Instruct,8.63888888888889,2.056780472473833,6.957508149166666,5.128202372913709,1,54,8.090299842547582,9.187477935230197,5.589702645928765,8.325313652404567
faiss,750.0,15.0,sentence-transformers_all-MiniLM-L6-v2,Mistral-7B-Instruct-v0.3,8.537037037037036,2.1693661622170164,2.3213986732222223,1.2584013983872218,2,54,7.958418885988407,9.115655188085665,1.9857550630777292,2.657042283366715
faiss,750.0,15.0,sentence-transformers_all-MiniLM-L6-v2,Qwen2.5-72B-Instruct,8.462962962962964,2.523197753697232,6.803029289851851,4.9072826844242625,3,54,7.789970065589516,9.135955860336411,5.494147975582293,8.111910604121412
faiss,750.0,10.0,sentence-transformers_all-mpnet-base-v2,Mistral-7B-Instruct-v0.3,8.24074074074074,2.494788418337543,2.1604746668333332,0.9609235364012638,4,54,7.575325244261914,8.906156237219568,1.9041750113784937,2.416774322288173
faiss,750.0,15.0,sentence-transformers_all-mpnet-base-v2,Mistral-7B-Instruct-v0.3,8.222222222222221,1.9778649310644523,2.2723300942592592,0.9856054005702045,5,54,7.694681703996902,8.74976274044754,2.009447237287498,2.5352129512310206
faiss,500.0,15.0,sentence-transformers_all-MiniLM-L6-v2,Mistral-7B-Instruct-v0.3,8.175925925925926,2.329380449267224,2.0370669011296294,1.0208189843105315,6,54,7.554628409573777,8.797223442278074,1.7647917990539794,2.309342003205279
faiss,750.0,10.0,sentence-transformers_all-mpnet-base-v2,Qwen2.5-72B-Instruct,8.101851851851851,2.69412293571254,5.177671728259259,4.56061635683578,7,54,7.383269411086487,8.820434292617215,3.961254025247964,6.394089431270556
faiss,500.0,15.0,sentence-transformers_all-mpnet-base-v2,Qwen2.5-72B-Instruct,8.027777777777779,2.6482758126513586,6.541459569111111,5.408983604823974,8,54,7.321423783292525,8.734131772263032,5.098763473364363,7.984155664857859
faiss,500.0,10.0,sentence-transformers_all-MiniLM-L6-v2,Mistral-7B-Instruct-v0.3,8.018518518518519,2.422307809154754,1.8886546602962964,0.8189485956249407,9,54,7.372435210769586,8.664601826267452,1.670222875723743,2.10708644486885
faiss,500.0,15.0,sentence-transformers_all-MiniLM-L6-v2,Qwen2.5-72B-Instruct,7.925925925925926,2.415374121197977,5.602809107037037,4.728256868320122,10,54,7.281691986796902,8.570159865054949,4.341677955238108,6.8639402588359655
faiss,750.0,10.0,sentence-transformers_all-MiniLM-L6-v2,Qwen2.5-72B-Instruct,7.907407407407407,2.876505469780988,5.982410373592592,3.936541009634551,11,54,7.140179492916022,8.674635321898794,4.93244743041012,7.032373316775066
faiss,750.0,10.0,sentence-transformers_all-MiniLM-L6-v2,Mistral-7B-Instruct-v0.3,7.824074074074074,2.499353515293405,1.969703471148148,0.782784887824607,12,54,7.157440964816933,8.490707183331216,1.7609173508746576,2.1784895914216387
faiss,500.0,15.0,sentence-transformers_all-mpnet-base-v2,Mistral-7B-Instruct-v0.3,7.703703703703703,2.5578560423123053,2.244613382592593,1.2597317853663745,13,54,7.021466670772951,8.385940736634454,1.9086149286843017,2.5806118365008834
faiss,500.0,10.0,sentence-transformers_all-mpnet-base-v2,Mistral-7B-Instruct-v0.3,7.462264150943396,3.0866478216726128,2.1208349245185185,0.8936378718371233,14,53,6.631256127371349,8.293272174515444,1.8824818506506225,2.3591879983864157
faiss,750.0,10.0,sentence-transformers_all-MiniLM-L6-v2,Gemma-2-9b-it,7.361111111111111,2.8655676553558087,1.857883506314815,1.5491917401732973,15,54,6.596800554726179,8.125421667496042,1.4446796516908442,2.2710873609387856
faiss,500.0,10.0,sentence-transformers_all-MiniLM-L6-v2,Qwen2.5-72B-Instruct,7.092592592592593,3.243388156935255,5.966039657888889,5.227061221417253,16,54,6.227508914611282,7.957676270573903,4.571866303463773,7.360213012314006
faiss,500.0,15.0,sentence-transformers_all-mpnet-base-v2,Gemma-2-9b-it,6.935185185185185,3.009491739662552,1.5603731605925926,0.7966414653913931,17,54,6.1324868780353805,7.73788349233499,1.3478911832382663,1.7728551379469193
faiss,500.0,15.0,sentence-transformers_all-MiniLM-L6-v2,Gemma-2-9b-it,6.75,3.3796700743298524,1.5742008332962962,1.1453613839198236,18,54,5.848566906951001,7.651433093048999,1.2687075063565498,1.8796941602360435
faiss,500.0,10.0,sentence-transformers_all-mpnet-base-v2,Qwen2.5-72B-Instruct,6.472222222222222,3.9038160656226926,5.3455059260740745,4.444763190947506,19,54,5.430987748639348,7.513456695805097,4.159988836249672,6.531023015898477
faiss,750.0,10.0,sentence-transformers_all-mpnet-base-v2,Gemma-2-9b-it,6.138888888888889,3.8892894372936593,1.5548947431481481,0.584323267916897,20,54,5.101528989811283,7.176248787966496,1.3990427460139983,1.7107467402822976
faiss,750.0,15.0,sentence-transformers_all-MiniLM-L6-v2,Gemma-2-9b-it,6.111111111111111,3.7663688867654703,1.8607859965,1.5102441818932941,21,54,5.106536853715964,7.1156853685062575,1.4579703209452575,2.263601672054743
bm25,-1.0,15.0,N/A,Mistral-7B-Instruct-v0.3,6.064814814814815,3.581986241843694,1.7347972349074074,0.68797148225328,22,54,5.109419505145608,7.020210124484022,1.5512999563157834,1.9182945134990306
faiss,750.0,15.0,sentence-transformers_all-mpnet-base-v2,Gemma-2-9b-it,5.712962962962963,4.028907164728247,1.6942150768703703,0.9045465967725496,23,54,4.638363914170191,6.7875620117557345,1.4529524037092014,1.9354777500315383
faiss,500.0,10.0,sentence-transformers_all-MiniLM-L6-v2,Gemma-2-9b-it,5.62962962962963,3.731792509228737,1.5037413924259257,0.6161708903326851,24,54,4.634277660287422,6.6249815989718375,1.3393949268528083,1.6680878579990437
bm25,-1.0,15.0,N/A,Qwen2.5-72B-Instruct,5.361111111111111,4.271909858187318,4.577214554444445,3.6282420319547946,25,54,4.221697845318923,6.500524376903298,3.6094817979137876,5.5449473109750995
faiss,500.0,10.0,sentence-transformers_all-mpnet-base-v2,Gemma-2-9b-it,5.351851851851852,3.803709249286768,1.9317230472222222,1.634182285514697,26,54,4.337318090202486,6.366385613501218,1.4958503259686562,2.367595768475789
bm25,-1.0,10.0,N/A,Mistral-7B-Instruct-v0.3,5.203703703703703,3.630996690601058,1.8492209116481482,1.8139559919645099,27,54,4.23523621851339,6.1721711888940165,1.3653985489533027,2.3330432743429936
bm25,-1.0,10.0,N/A,Qwen2.5-72B-Instruct,5.046296296296297,4.118834464325353,3.7697465464444444,2.2615226881540176,28,54,3.9477116388368447,6.144880953755749,3.1665482025388205,4.372944890350068
bm25,-1.0,15.0,N/A,Gemma-2-9b-it,4.388888888888889,4.401614912333653,1.4596076409259258,0.7841810750715948,29,54,3.214880403571789,5.56289737420599,1.2504491264953583,1.6687661553564928
bm25,-1.0,10.0,N/A,Gemma-2-9b-it,3.6481481481481484,4.157999371102749,1.3119149649259259,0.5324960115513849,30,54,2.5391173399465057,4.757178956349791,1.1698864484814027,1.453943481370449
